id_geoinfo,ordem,autor_original,autor_padronizado,instituicao_original,instituicao_padronizada
8JMKD2USPTW34P/4DKBAQH,1,"Adorno, Bruno Vargas",Bruno Vargas Adorno,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBAQH,2,"Nesbitt, Lorien",Lorien Nesbitt,University of British Columbia,University of British Columbia
8JMKD2USPTW34P/4DKBAQH,3,"Amaral, Silvana",Silvana Amaral,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBE9S,1,"Andrade, Pedro Ribeiro",Pedro Ribeiro Andrade,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBE9S,2,"Rodrigues, Erick Teixeira",Erick Teixeira Rodrigues,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBE9S,3,"Simoes, Rolf E. O.",Rolf E. O. Simoes,Open Geo Hub (OGH),Open Geo Hub (OGH)
8JMKD2USPTW34P/4DKBE9S,4,"Escada, Maria Isabel Sobral",Maria Isabel Sobral Escada,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBSAB,1,"Chuizaca-Espinoza, Isabel Adriana",Isabel Adriana Chuizaca-Espinoza,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBSAB,2,"Amaral, Silvana",Silvana Amaral,National Institute for Space Research (INPE),INPE
8JMKD2USPTW34P/4DKBDA8,1,"Costa, Gabriel F.",Gabriel F. Costa,Federal University of Ouro Preto (UFOP),Federal University of Ouro Preto (UFOP)
8JMKD2USPTW34P/4DKBDA8,2,"Santos, Leonardo Bacelar Lima",Leonardo Bacelar Lima Santos,National Center for Monitoring and Early Warning of Natural Disasters (CEMADEN),National Center for Monitoring and Early Warning of Natural Disasters (CEMADEN)
8JMKD2USPTW34P/4DKBDA8,3,"Freitas, Vander L. S.",Vander L. S. Freitas,Federal University of Ouro Preto (UFOP),Federal University of Ouro Preto (UFOP)
8JMKD2USPTW34P/4DKBEP8,1,"Cruz, Victor Augusto L.",Victor Augusto L. Cruz,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
8JMKD2USPTW34P/4DKBEP8,2,"Smarzaro, Rodrigo",Rodrigo Smarzaro,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
8JMKD2USPTW34P/4DKBEP8,3,"Davis Junior, Clodoveu A.",Clodoveu A. Davis Junior,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
8JMKD2USPTW34P/4DKB7C8,1,"Fernandes, Anibal Evaristo",Anibal Evaristo Fernandes,Universidade Federal de Itajubß (UNIFEI),Universidade Federal de Itajubß (UNIFEI)
8JMKD2USPTW34P/4DKB7C8,2,"Souza, Ant¶nio Carlos Zambroni de",Ant¶nio Carlos Zambroni de Souza,Universidade Federal de Itajubß (UNIFEI),Universidade Federal de Itajubß (UNIFEI)
8JMKD2USPTW34P/4DKB7C8,3,"Felgueiras, Carlos Alberto",Carlos Alberto Felgueiras,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
8JMKD2USPTW34P/4DKAUJL,1,"Leite, Cândida Caroline Souza de Santana",Cândida Caroline Souza de Santana Leite,National Institute for Space Research – (INPE),National Institute for Space Research – (INPE)
8JMKD2USPTW34P/4DKAUJL,2,"Júnior, Rogerio Costa de Oliveira",Rogerio Costa de Oliveira Júnior,National Institute for Space Research – (INPE),National Institute for Space Research – (INPE)
8JMKD2USPTW34P/4DKAUJL,3,"Anderson, Liana Oighenstein",Liana Oighenstein Anderson,Natural Disaster and Alert Monitoring Center – (CEMADEN),Natural Disaster and Alert Monitoring Center – (CEMADEN)
8JMKD2USPTW34P/4DKAUJL,4,"Santos, Leonardo Bacelar Lima",Leonardo Bacelar Lima Santos,Natural Disaster and Alert Monitoring Center – (CEMADEN),Natural Disaster and Alert Monitoring Center – (CEMADEN)
