autores,ocorrencias,origem,nome_normalizado,possivel_duplicata
"Câmara, Gilberto",37,geoinfo,camara gilberto,False
"Körting, Thales Sehn",30,geoinfo,korting thales sehn,False
"Queiroz, Gilberto Ribeiro de",27,geoinfo,queiroz gilberto ribeiro de,False
"Monteiro, Antônio Miguel Vieira",25,geoinfo,monteiro antonio miguel vieira,False
"Vinhas, Lúbia",25,geoinfo,vinhas lubia,False
"Ferreira, Karine Reis",24,geoinfo,ferreira karine reis,False
"Davis Junior, Clodoveu A",23,geoinfo,davis junior clodoveu a,False
"Fonseca, Leila Maria Garcia",16,geoinfo,fonseca leila maria garcia,False
"Medeiros, Claudia Bauzer",13,geoinfo,medeiros claudia bauzer,False
"Escada, Maria Isabel Sobral",12,geoinfo,escada maria isabel sobral,False
"Baptista, Cláudio de Souza",12,geoinfo,baptista claudio de souza,False
"Andrade, Marcus V. A.",12,geoinfo,andrade marcus v a,False
"Iochpe, Cirano",12,geoinfo,iochpe cirano,False
"Amaral, Silvana",11,geoinfo,amaral silvana,False
"Santos, Leonardo B. L",11,geoinfo,santos leonardo b l,False
"Campelo, Claudio E. C",11,geoinfo,campelo claudio e c,False
"Ciferri, Cristina Dutra de Aguiar",10,geoinfo,ciferri cristina dutra de aguiar,False
"Bogorny, Vania",10,geoinfo,bogorny vania,False
"Ciferri, Ricardo Rodrigues",10,geoinfo,ciferri ricardo rodrigues,False
"Santos, Leonardo Bacelar Lima",9,geoinfo,santos leonardo bacelar lima,False
"Lisboa-filho, Jugurta",9,geoinfo,lisboafilho jugurta,False
"Casanova, Marco A.",9,geoinfo,casanova marco a,False
"Felgueiras, Carlos Alberto",8,geoinfo,felgueiras carlos alberto,False
"Campos, Jorge",8,geoinfo,campos jorge,False
"Fileto, Renato",8,geoinfo,fileto renato,False
"Souza, Ricardo Cartaxo Modesto de",8,geoinfo,souza ricardo cartaxo modesto de,False
"Morelli, Fabiano",7,geoinfo,morelli fabiano,False
"Feitosa, Flávia da Fonseca",7,geoinfo,feitosa flavia da fonseca,False
"Renso, Chiara",7,geoinfo,renso chiara,False
"Davis Júnior, Clodoveu Augusto",7,geoinfo,davis junior clodoveu augusto,False
"Assunção, Renato M.",7,geoinfo,assuncao renato m,False
"Namikawa, Laércio Massaru",6,geoinfo,namikawa laercio massaru,False
"Andrade, Pedro Ribeiro de",6,geoinfo,andrade pedro ribeiro de,False
"Martins, Wellington S",6,geoinfo,martins wellington s,False
"Pereira, Marconi de Arruda",6,geoinfo,pereira marconi de arruda,False
"Lisboa Filho, Jugurta",6,geoinfo,lisboa filho jugurta,False
"Carniel, Anderson Chaves",6,geoinfo,carniel anderson chaves,False
"Camargo, Eduardo Celso Gerbi",6,geoinfo,camargo eduardo celso gerbi,False
"Freitas, Vander L. S",5,geoinfo,freitas vander l s,False
"Mello, Ronaldo dos Santos",5,geoinfo,mello ronaldo dos santos,False
"Pereira, Marconi de A.",5,geoinfo,pereira marconi de a,False
"Sant'anna, Sidnei João Siqueira",5,geoinfo,santanna sidnei joao siqueira,False
"Bendini, Hugo do Nascimento",5,geoinfo,bendini hugo do nascimento,False
"Pereira, Marconi A.",5,geoinfo,pereira marconi a,False
"Carneiro, Tiago G. S.",5,geoinfo,carneiro tiago g s,False
"Barbosa, Ivanildo",5,geoinfo,barbosa ivanildo,False
"Rosim, Sergio",5,geoinfo,rosim sergio,False
"Santos, Afonso de Paula dos",5,geoinfo,santos afonso de paula dos,False
"Kozievitch, Nádia P",5,geoinfo,kozievitch nadia p,False
"Queiroz, Gilberto Ribeiro",5,geoinfo,queiroz gilberto ribeiro,False
"Times, Valéria Cesário",5,geoinfo,times valeria cesario,False
"Daltio, Jaudete",5,geoinfo,daltio jaudete,False
"Magalhães, Salles V. G. de",5,geoinfo,magalhaes salles v g de,False
"Dutra, Luciano Vieira",5,geoinfo,dutra luciano vieira,False
"Carvalho, Marcelo Tílio Monteiro de",5,geoinfo,carvalho marcelo tilio monteiro de,False
"Salgado, Ana Carolina",5,geoinfo,salgado ana carolina,False
"Hess, Guillermo Nudelman",5,geoinfo,hess guillermo nudelman,False
"Souza, Jano Moreira de",5,geoinfo,souza jano moreira de,False
"Anderson, Liana Oighenstein",4,geoinfo,anderson liana oighenstein,False
"Reis, Mariane Souza",4,geoinfo,reis mariane souza,False
"Vasques, Gustavo Mattos",4,geoinfo,vasques gustavo mattos,False
"Chaves, Michel Eustáquio Dantas",4,geoinfo,chaves michel eustaquio dantas,False
"Rodrigues, Marcos Lima",4,geoinfo,rodrigues marcos lima,False
"Sansigolo, Gabriel",4,geoinfo,sansigolo gabriel,False
"Oliveira, Maxwell Guimarães de",4,geoinfo,oliveira maxwell guimaraes de,False
"Gherardi, Douglas Francisco Marcolino",4,geoinfo,gherardi douglas francisco marcolino,False
"Galvão, Lęnio Soares",4,geoinfo,galvao lenio soares,False
"Fook, Karla Donato",4,geoinfo,fook karla donato,False
"Castejon, Emiliano Ferreira",4,geoinfo,castejon emiliano ferreira,False
"Souza, Felipe N",4,geoinfo,souza felipe n,False
"Oliveira, Sávio S. Teles de",4,geoinfo,oliveira savio s teles de,False
"Rodrigues, Vagner J. do Sacramento",4,geoinfo,rodrigues vagner j do sacramento,False
"Negri, Rogério G.",4,geoinfo,negri rogerio g,False
"Andrade, Fabio Gomes de",4,geoinfo,andrade fabio gomes de,False
"Shimabukuro, Yosio Edemir",4,geoinfo,shimabukuro yosio edemir,False
"Holanda, Maristela",4,geoinfo,holanda maristela,False
"Cardoso, Marcelo de C.",4,geoinfo,cardoso marcelo de c,False
"Fonseca, Leila M. G.",4,geoinfo,fonseca leila m g,False
"Casanova, Marco Antonio",4,geoinfo,casanova marco antonio,False
"Azevedo, Leonardo Guerreiro",4,geoinfo,azevedo leonardo guerreiro,False
"Times, Valéria C.",4,geoinfo,times valeria c,False
"Borges, Karla A. V.",4,geoinfo,borges karla a v,False
"Ribeiro Junior, Paulo Justiniano",4,geoinfo,ribeiro junior paulo justiniano,False
"Nicklas, Daniela",4,geoinfo,nicklas daniela,False
"Laender, Alberto H. F",4,geoinfo,laender alberto h f,False
"Adorno, Bruno Vargas",3,geoinfo,adorno bruno vargas,False
"Rodrigues, Erick Teixeira",3,geoinfo,rodrigues erick teixeira,False
"Smarzaro, Rodrigo",3,geoinfo,smarzaro rodrigo,False
"Machado, Vanessa Lago",3,geoinfo,machado vanessa lago,False
"Portela, Tarlis Tortelli",3,geoinfo,portela tarlis tortelli,False
"Almeida, Cláudia Maria de",3,geoinfo,almeida claudia maria de,False
"Rennó, Camilo Daleles",3,geoinfo,renno camilo daleles,False
"Santos, Rafael Duarte Coelho dos",3,geoinfo,santos rafael duarte coelho dos,False
"Pereira, Marconi Arruda",3,geoinfo,pereira marconi arruda,False
"Santos, Júlio César Pimenta dos",3,geoinfo,santos julio cesar pimenta dos,False
"Rech, Bruno",3,geoinfo,rech bruno,False
"Barbosa, Cláudio Clemente Faria",3,geoinfo,barbosa claudio clemente faria,False
"Novo, Evlyn Marcia Leao de Moraes",3,geoinfo,novo evlyn marcia leao de moraes,False
"Soares, Giovanni Guarnieri",3,geoinfo,soares giovanni guarnieri,False
"Marcatti, Gustavo E.",3,geoinfo,marcatti gustavo e,False
"Pereira, Gabriel",3,geoinfo,pereira gabriel,False
"Dart, Ricardo de Oliveira",3,geoinfo,dart ricardo de oliveira,False
"Aragão, Luiz Eduardo Oliveira E Cruz de",3,geoinfo,aragao luiz eduardo oliveira e cruz de,False
"Anderson, Liana O.",3,geoinfo,anderson liana o,False
"Dalagnol, Ricardo",3,geoinfo,dalagnol ricardo,False
"Silva, Darlan Teles da",3,geoinfo,silva darlan teles da,False
"Sanches, Ieda Del'arco",3,geoinfo,sanches ieda delarco,False
"Zioti, Fabiana",3,geoinfo,zioti fabiana,False
"Marujo, Rennan de Freitas Bezerra",3,geoinfo,marujo rennan de freitas bezerra,False
"Moreira, Noeli Aline Particcelli",3,geoinfo,moreira noeli aline particcelli,False
"Teixeira, Raíssa Caroline dos Santos",3,geoinfo,teixeira raissa caroline dos santos,False
"Arcanjo, Jeferson de Souza",3,geoinfo,arcanjo jeferson de souza,False
"Pinho, Carolina Moutinho Duque de",3,geoinfo,pinho carolina moutinho duque de,False
"Sánchez Ipia, Alber Hamersson",3,geoinfo,sanchez ipia alber hamersson,False
"Simőes, Rolf Ezequiel de Oliveira",3,geoinfo,simoes rolf ezequiel de oliveira,False
"Carvalho, Carlos Alberto de",3,geoinfo,carvalho carlos alberto de,False
"Cunha, Luis Felipe Bortolatto da",3,geoinfo,cunha luis felipe bortolatto da,False
"Silva, Ricardo Dal'agnol da",3,geoinfo,silva ricardo dalagnol da,False
"Pinheiro, Michele Brito",3,geoinfo,pinheiro michele brito,False
"Balan, Mário",3,geoinfo,balan mario,False
"Pletsch, Mikhaela Aloisia Jessie Santos",3,geoinfo,pletsch mikhaela aloisia jessie santos,False
"Uehara, Tatiana Dias Tardelli",3,geoinfo,uehara tatiana dias tardelli,False
"Arai, Egidio",3,geoinfo,arai egidio,False
"Ortiz, Jussara de Oliveira",3,geoinfo,ortiz jussara de oliveira,False
"Davis Jr., Clodoveu A",3,geoinfo,davis jr clodoveu a,False
"Sanchez, Alber",3,geoinfo,sanchez alber,False
"Oliveira, Thiago Borges de",3,geoinfo,oliveira thiago borges de,False
"Feitosa, Flávia F",3,geoinfo,feitosa flavia f,False
"Albuquerque, João Porto de",3,geoinfo,albuquerque joao porto de,False
"Carneiro, Tiago Garcia de Senna",3,geoinfo,carneiro tiago garcia de senna,False
"Santos, Rafael",3,geoinfo,santos rafael,False
"Korting, Thales S.",3,geoinfo,korting thales s,False
"Namikawa, Laércio M.",3,geoinfo,namikawa laercio m,False
"Furtado, Andre Salvaro",3,geoinfo,furtado andre salvaro,False
"Alvares, Luis Otavio",3,geoinfo,alvares luis otavio,False
"Souza, Wagner D.",3,geoinfo,souza wagner d,False
"Shimabukuro, Milton Hirokazu",3,geoinfo,shimabukuro milton hirokazu,False
"Ferreira, Chaulio R.",3,geoinfo,ferreira chaulio r,False
"Pena, Guilherme C",3,geoinfo,pena guilherme c,False
"Freitas, Corina da Costa",3,geoinfo,freitas corina da costa,False
"Magalhńes, Salles V. G.",3,geoinfo,magalhnes salles v g,False
"Siqueira, Thiago Luís Lopes",3,geoinfo,siqueira thiago luis lopes,False
"Aguiar, Ana Paula",3,geoinfo,aguiar ana paula,False
"Metello, Marcelo G.",3,geoinfo,metello marcelo g,False
"Grossmann, Matthias",3,geoinfo,grossmann matthias,False
"Brauner, Daniela F.",3,geoinfo,brauner daniela f,False
"Oliveira, Luciano T. de",3,geoinfo,oliveira luciano t de,False
"Mitschang, Bernhard",3,geoinfo,mitschang bernhard,False
"Andrade, Marcus Vinícius Alvim",3,geoinfo,andrade marcus vinicius alvim,False
"Baranauskas, M. Cecília C.",3,geoinfo,baranauskas m cecilia c,False
"Silva, Joel da",3,geoinfo,silva joel da,False
"Seixas, Roberto de Beauclair",3,geoinfo,seixas roberto de beauclair,False
"Fuks, Suzana Druck",3,geoinfo,fuks suzana druck,False
"Paiva, João Argemiro",3,geoinfo,paiva joao argemiro,False
"Gattass, Marcelo",3,geoinfo,gattass marcelo,False
"Leite, Cândida Caroline Souza de Santana",2,geoinfo,leite candida caroline souza de santana,False
"Delbem, Alexandre C. B.",2,geoinfo,delbem alexandre c b,False
"Maia, Aluizio Brito",2,geoinfo,maia aluizio brito,False
"Matos, Diego Henrique M.",2,geoinfo,matos diego henrique m,False
"Nascimento Filho, Ocione Dias do",2,geoinfo,nascimento filho ocione dias do,False
