instituicoes,ocorrencias,origem,nome_normalizado,possivel_duplicata
Instituto Nacional de Pesquisas Espaciais (INPE),194,geoinfo,instituto nacional de pesquisas espaciais inpe,False
Universidade Federal de Minas Gerais (UFMG),52,geoinfo,universidade federal de minas gerais ufmg,False
Universidade Federal de Viçosa (UFV),36,geoinfo,universidade federal de vicosa ufv,False
Universidade Estadual de Campinas (UNICAMP),31,geoinfo,universidade estadual de campinas unicamp,False
Universidade de São Paulo (USP),29,geoinfo,universidade de sao paulo usp,False
Universidade Federal de Campina Grande (UFCG),25,geoinfo,universidade federal de campina grande ufcg,False
Universidade Federal de Santa Catarina (UFSC),24,geoinfo,universidade federal de santa catarina ufsc,False
Universidade Federal do Rio de Janeiro (UFRJ),21,geoinfo,universidade federal do rio de janeiro ufrj,False
Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),20,geoinfo,empresa brasileira de pesquisa agropecuaria embrapa,False
Universidade Federal do Rio Grande do Sul (UFRGS),20,geoinfo,universidade federal do rio grande do sul ufrgs,False
Universidade Federal de Pernambuco (UFPE),18,geoinfo,universidade federal de pernambuco ufpe,False
Universidade Estadual Paulista (UNESP),17,geoinfo,universidade estadual paulista unesp,False
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),15,geoinfo,pontificia universidade catolica do rio de janeiro pucrio,False
Universidade Federal do Paraná (UFPR),15,geoinfo,universidade federal do parana ufpr,False
Universidade Federal de Ouro Preto (UFOP),14,geoinfo,universidade federal de ouro preto ufop,False
National Institute for Space Research (INPE),13,geoinfo,national institute for space research inpe,False
Universidade Federal do ABC (UFABC),13,geoinfo,universidade federal do abc ufabc,False
Universidade Federal de Goiás (UFG),12,geoinfo,universidade federal de goias ufg,False
Universidade Federal de São João Del Rei (UFSJ),12,geoinfo,universidade federal de sao joao del rei ufsj,False
Centro Nacional de Monitoramento e Alerta de Desastres Naturais (CEMADEN),11,geoinfo,centro nacional de monitoramento e alerta de desastres naturais cemaden,False
Universidade Federal de São Carlos (UFSCar),10,geoinfo,universidade federal de sao carlos ufscar,False
Instituto Militar de Engenharia (IME),8,geoinfo,instituto militar de engenharia ime,False
Universidade Federal de São Paulo (UNIFESP),7,geoinfo,universidade federal de sao paulo unifesp,False
Centro Nacional de Monitoramento e Alertas de Desastres Naturais (CEMADEN),7,geoinfo,centro nacional de monitoramento e alertas de desastres naturais cemaden,False
Universidade Federal de São João Del-Rei (UFSJ),7,geoinfo,universidade federal de sao joao delrei ufsj,False
Universidade Federal de Vińosa (UFV),7,geoinfo,universidade federal de vinosa ufv,False
